 Total battles: 1050903
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 28.68381% | 602878 | 28.684% | 479220 | 28.641% | 
 | 2    | Kingambit          | 18.79622% | 395060 | 18.796% | 271084 | 16.201% | 
 | 3    | Gholdengo          | 18.59330% | 390795 | 18.593% | 300632 | 17.967% | 
 | 4    | Dragapult          | 14.95804% | 314389 | 14.958% | 246596 | 14.738% | 
 | 5    | Dragonite          | 14.68347% | 308618 | 14.683% | 228337 | 13.647% | 
 | 6    | Iron Valiant       | 13.72301% | 288431 | 13.723% | 210288 | 12.568% | 
 | 7    | Ogerpon-Wellspring | 13.58313% | 285491 | 13.583% | 227617 | 13.604% | 
 | 8    | Corviknight        | 12.05701% | 253415 | 12.057% | 208898 | 12.485% | 
 | 9    | Slowking-Galar     | 12.04992% | 253266 | 12.050% | 212627 | 12.708% | 
 | 10   | Raging Bolt        | 11.50872% | 241891 | 11.509% | 182398 | 10.901% | 
 | 11   | Zamazenta          | 11.25998% | 236663 | 11.260% | 174938 | 10.455% | 
 | 12   | Gliscor            | 11.16440% | 234654 | 11.164% | 196923 | 11.769% | 
 | 13   | Glimmora           | 10.23663% | 215154 | 10.237% | 188112 | 11.242% | 
 | 14   | Hatterene          |  9.60564% | 201892 |  9.606% | 159963 |  9.560% | 
 | 15   | Landorus-Therian   |  9.55012% | 200725 |  9.550% | 176860 | 10.570% | 
 | 16   | Cinderace          |  9.45301% | 198684 |  9.453% | 157767 |  9.429% | 
 | 17   | Alomomola          |  9.44264% | 198466 |  9.443% | 166100 |  9.927% | 
 | 18   | Ceruledge          |  8.91153% | 187303 |  8.912% | 141625 |  8.464% | 
 | 19   | Samurott-Hisui     |  8.89250% | 186903 |  8.892% | 167275 |  9.997% | 
 | 20   | Pecharunt          |  8.63386% | 181467 |  8.634% | 149198 |  8.917% | 
 | 21   | Iron Treads        |  8.41310% | 176827 |  8.413% | 147181 |  8.796% | 
 | 22   | Kyurem             |  8.08557% | 169943 |  8.086% | 136050 |  8.131% | 
 | 23   | Darkrai            |  7.84725% | 164934 |  7.847% | 128162 |  7.660% | 
 | 24   | Rillaboom          |  7.67026% | 161214 |  7.670% | 132225 |  7.902% | 
 | 25   | Ting-Lu            |  7.49122% | 157451 |  7.491% | 137260 |  8.203% | 
 | 26   | Tyranitar          |  7.37528% | 155014 |  7.375% | 134276 |  8.025% | 
 | 27   | Iron Moth          |  7.21746% | 151697 |  7.217% | 116056 |  6.936% | 
 | 28   | Garganacl          |  7.15789% | 150445 |  7.158% | 121958 |  7.289% | 
 | 29   | Zapdos             |  6.97533% | 146608 |  6.975% | 124345 |  7.431% | 
 | 30   | Walking Wake       |  6.13249% | 128893 |  6.132% | 103064 |  6.160% | 
 | 31   | Primarina          |  5.89412% | 123883 |  5.894% | 102185 |  6.107% | 
 | 32   | Scizor             |  5.77441% | 121367 |  5.774% | 98935  |  5.913% | 
 | 33   | Heatran            |  5.56940% | 117058 |  5.569% | 97547  |  5.830% | 
 | 34   | Garchomp           |  5.54894% | 116628 |  5.549% | 95908  |  5.732% | 
 | 35   | Deoxys-Speed       |  5.51164% | 115844 |  5.512% | 98247  |  5.872% | 
 | 36   | Clefable           |  5.38818% | 113249 |  5.388% | 90062  |  5.383% | 
 | 37   | Excadrill          |  4.77033% | 100263 |  4.770% | 79450  |  4.748% | 
 | 38   | Moltres            |  4.52140% | 95031  |  4.521% | 79904  |  4.775% | 
 | 39   | Enamorus           |  4.47544% | 94065  |  4.475% | 73360  |  4.384% | 
 | 40   | Meowscarada        |  4.39769% | 92431  |  4.398% | 75405  |  4.507% | 
 | 41   | Toxapex            |  4.20686% | 88420  |  4.207% | 71620  |  4.280% | 
 | 42   | Tornadus-Therian   |  4.15286% | 87285  |  4.153% | 74385  |  4.446% | 
 | 43   | Dondozo            |  4.10176% | 86211  |  4.102% | 62560  |  3.739% | 
 | 44   | Pelipper           |  4.09524% | 86074  |  4.095% | 79682  |  4.762% | 
 | 45   | Weezing-Galar      |  4.08063% | 85767  |  4.081% | 69338  |  4.144% | 
 | 46   | Ogerpon            |  3.76471% | 79127  |  3.765% | 63501  |  3.795% | 
 | 47   | Iron Crown         |  3.60614% | 75794  |  3.606% | 62182  |  3.716% | 
 | 48   | Clodsire           |  3.53705% | 74342  |  3.537% | 59707  |  3.568% | 
 | 49   | Torkoal            |  3.42334% | 71952  |  3.423% | 65801  |  3.933% | 
 | 50   | Hydrapple          |  3.34270% | 70257  |  3.343% | 56143  |  3.355% | 
 | 51   | Serperior          |  3.23075% | 67904  |  3.231% | 52534  |  3.140% | 
 | 52   | Blaziken           |  3.07421% | 64614  |  3.074% | 48342  |  2.889% | 
 | 53   | Ursaluna           |  2.90826% | 61126  |  2.908% | 48247  |  2.883% | 
 | 54   | Araquanid          |  2.87829% | 60496  |  2.878% | 56130  |  3.355% | 
 | 55   | Blissey            |  2.83937% | 59678  |  2.839% | 46982  |  2.808% | 
 | 56   | Ninetales-Alola    |  2.77970% | 58424  |  2.780% | 51922  |  3.103% | 
 | 57   | Greninja           |  2.77614% | 58349  |  2.776% | 45631  |  2.727% | 
 | 58   | Ninetales          |  2.77128% | 58247  |  2.771% | 53141  |  3.176% | 
 | 59   | Tinkaton           |  2.67522% | 56228  |  2.675% | 49371  |  2.951% | 
